Longitude,Latitude,datetime,Bounds,UHI Index
-73.90916667,40.81310667,2021-07-24 15:53:00,"(-73.91814978174992, 40.780695494466585, -73.90018355825009, 40.84551784553342)",1.030288903
-73.90918667,40.813045,2021-07-24 15:53:00,"(-73.91816978174991, 40.78063378524598, -73.90020355825008, 40.84545621475402)",1.030288903
-73.909215,40.81297833,2021-07-24 15:53:00,"(-73.91819811174992, 40.78056705968982, -73.90023188825009, 40.84538960031018)",1.023797758
-73.90924167,40.81290833,2021-07-24 15:53:00,"(-73.91822478174991, 40.7804970073888, -73.90025855825009, 40.845319652611195)",1.023797758
-73.90925667,40.812845,2021-07-24 15:53:00,"(-73.91823978174992, 40.780433647973084, -73.90027355825009, 40.84525635202692)",1.021634043
-73.90928,40.81277667,2021-07-24 15:53:00,"(-73.91826311174991, 40.780365272221715, -73.90029688825008, 40.84518806777828)",1.021634043
-73.90931167,40.81271,2021-07-24 15:53:00,"(-73.9182947817499, 40.780298540114956, -73.90032855825008, 40.84512145988505)",1.015142899
-73.90934,40.81264333,2021-07-24 15:53:00,"(-73.91832311174991, 40.78023181455792, -73.90035688825009, 40.84505484544208)",1.015142899
-73.90936333,40.81256167,2021-07-24 15:53:00,"(-73.91834644174992, 40.780150108806076, -73.90038021825009, 40.844973231193926)",1.012979184
-73.90938333,40.812485,2021-07-24 15:53:00,"(-73.91836644174991, 40.7800733995845, -73.90040021825008, 40.8448966004155)",1.012979184
-73.90939333,40.81240333,2021-07-24 15:53:00,"(-73.91837644174991, 40.77999170997367, -73.90041021825009, 40.84481495002633)",1.010815469
-73.90942,40.81233,2021-07-24 15:53:00,"(-73.91840311174991, 40.77991832767148, -73.90043688825008, 40.844741672328524)",1.010815469
-73.90945333,40.81223667,2021-07-24 15:53:00,"(-73.91843644174992, 40.779824932308195, -73.90047021825009, 40.8446484076918)",1.010815469
-73.90947667,40.81216333,2021-07-24 15:53:00,"(-73.91845978174992, 40.77975154653608, -73.90049355825009, 40.84457511346391)",1.010815469
